sex_age_cat,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
female_0,0.048973353009764624,4.191635527477773e-5,0,0.04030173613678012,1.2834369107477102e-5,0,NA,NA,NA,0.03378372694489547,4.85863111006649e-5,0,NA,NA,NA
female_1,0.04256317161782762,4.8607192955436043e-5,0,0.03203224323711954,2.6546645171900472e-5,0,NA,NA,NA,0.031609612206404375,5.5091669033636425e-5,0,NA,NA,NA
female_2,0.03964487728084801,5.23660673571385e-5,0,0.028530389145216127,3.804611629178876e-5,0,NA,NA,NA,0.030564090303033073,5.865578306715341e-5,0,NA,NA,NA
female_3,0.03697852429964073,5.643121554954765e-5,0,0.025384674684527396,5.4187561706523276e-5,0,NA,NA,NA,0.029542943987483403,6.250219760704777e-5,0,NA,NA,NA
female_4,0.03444249048782383,6.0715831059571526e-5,0,0.02252286248010708,7.677145989526675e-5,0,NA,NA,NA,0.028556598979409903,6.65804401833709e-5,0,NA,NA,NA
female_5,0.032145988293625555,6.540063741261281e-5,0,0.020034238754710276,1.0766614671510566e-4,0,NA,NA,NA,0.02761721637794426,7.098856400431915e-5,0,NA,NA,NA
female_6,0.030029700421935757,7.037267544571739e-5,0,0.017864596181614595,1.4908527179911005e-4,0,NA,NA,NA,0.026691401489459088,7.565792930069602e-5,0,NA,NA,NA
female_7,0.028094309801213,7.57527259382183e-5,0,0.015902487163238728,2.0325708613268544e-4,0,NA,NA,NA,0.025755426746820832,8.056645679564413e-5,0,NA,NA,NA
female_8,0.026289649582028632,8.15381481955974e-5,0,0.014132686905613746,2.716107322192591e-4,0,NA,NA,NA,0.024884304901772826,8.593840201846187e-5,0,NA,NA,NA
female_9,0.024625334619408155,8.772501419802862e-5,0,0.01254778395865533,3.560875541047847e-4,0,NA,NA,NA,0.02402393214132025,9.161804644973347e-5,0,NA,NA,NA
female_10,0.023048657574089207,9.423080436049918e-5,0,0.011129585750173476,4.560708401414176e-4,0,NA,NA,NA,0.02319133312564315,9.767802621279044e-5,0,NA,NA,NA
female_11,0.02158580557899236,1.0123546224710747e-4,0,0.009890472981267585,5.714928424364681e-4,0,NA,NA,NA,0.022389082143236053,1.042372489831564e-4,0,NA,NA,NA
female_12,0.020233329386592513,1.0848668252892341e-4,0,0.008767039056491586,6.993216436038461e-4,0,NA,NA,NA,0.021629086863686194,1.1117980557201883e-4,0,NA,NA,NA
female_13,0.018981782045501487,1.1613439797216127e-4,0,0.007779180835750345,8.359754121212838e-4,0,NA,NA,NA,0.020891628524070564,1.1855092684156345e-4,0,NA,NA,NA
female_14,0.017760847975780966,1.2402568973994029e-4,0,0.006893044371255815,9.761663782212522e-4,0,NA,NA,NA,0.020216883986246888,1.2632594865830398e-4,0,NA,NA,NA
female_15,0.01663370991476662,1.3217362117620392e-4,0,0.006111805131452743,0.0011133511499995235,0,NA,NA,NA,0.019539010865564792,1.3452610205944354e-4,0,NA,NA,NA
female_16,0.015566997091119842,1.4041808700390767e-4,0,0.005422422799974198,0.0012454738841043223,0,NA,NA,NA,0.018925487094011602,1.4317690271503335e-4,0,NA,NA,NA
female_17,0.01455373009563598,1.4887345185670756e-4,0,0.004814940751764493,0.0013666838373379523,0,NA,NA,NA,0.018330515527186297,1.5237702488519087e-4,0,NA,NA,NA
female_18,0.013622762169311527,1.575652698037976e-4,0,0.0042858239568209,0.0014765897132740411,0,NA,NA,NA,0.017774947968107874,1.6194526490921805e-4,0,NA,NA,NA
female_19,0.012730060837924589,1.6633321835744165e-4,0,0.0038238190159861907,0.0015736550645028572,0,NA,NA,NA,0.017258407869767622,1.7187253966553402e-4,0,NA,NA,NA
female_20,0.011887567159795678,1.752420075032427e-4,0,0.0034235949927146686,0.0016581897711067722,0,NA,NA,NA,0.016784185716507263,1.8214564139770961e-4,0,NA,NA,NA
female_21,0.011103803107930542,1.8420981830865292e-4,0,0.003079495346771524,0.0017324674641846557,0,NA,NA,NA,0.016326737812390663,1.9282447998336254e-4,0,NA,NA,NA
female_22,0.010388524164392721,1.9332453104696102e-4,0,0.0027836976397310285,0.0018019708096292503,0,NA,NA,NA,0.015882261942235288,2.0387370270887024e-4,0,NA,NA,NA
female_23,0.009734676399864906,2.0264849477102394e-4,0,0.0025317498531580327,0.001865355327201662,0,NA,NA,NA,0.015450531391170778,2.1517880288025998e-4,0,NA,NA,NA
female_24,0.009133691149590836,2.122705201066364e-4,0,0.00231733927304482,0.0019271864513350793,0,NA,NA,NA,0.015046674280057864,2.2680264352509667e-4,0,NA,NA,NA
female_25,0.008587743971334914,2.222975703370063e-4,0,0.0021325346319769145,0.0019914843755676082,0,NA,NA,NA,0.014660515027471524,2.3882445531285345e-4,0,NA,NA,NA
female_26,0.00809783978279489,2.3284713836412395e-4,0,0.0019763398519068525,0.002060241970713559,0,NA,NA,NA,0.014271866947231,2.510087481199585e-4,0,NA,NA,NA
female_27,0.007657568665219567,2.4406968990911635e-4,0,0.0018450106803002912,0.0021364465055815117,0,NA,NA,NA,0.013904498927601983,2.635203516365702e-4,0,NA,NA,NA
female_28,0.007269166161028669,2.5643809091295273e-4,0,0.0017336448852931278,0.002219127303908894,0,NA,NA,NA,0.013533421032406644,2.7615488972566134e-4,0,NA,NA,NA
female_29,0.006917813736276791,2.698648132376429e-4,0,0.0016408874519129929,0.002311131647167725,0,NA,NA,NA,0.013175478868245563,2.891407696485618e-4,0,NA,NA,NA
female_30,0.0066068493158849065,2.8494736008809597e-4,0,0.0015640799190847928,0.002413346189415585,0,NA,NA,NA,0.012824530739554595,3.024351630347476e-4,0,NA,NA,NA
female_31,0.0063281889525841385,3.0184996126486326e-4,0,0.0015000509104535259,0.002528615284862018,0,NA,NA,NA,0.012489992283539234,3.162212628093744e-4,0,NA,NA,NA
female_32,0.0060815112158082935,3.208999017699196e-4,0,0.0014479761290877666,0.002653368344322576,0,NA,NA,NA,0.012181203792128524,3.3065432008561643e-4,0,NA,NA,NA
female_33,0.005861451159950487,3.426055631552332e-4,0,0.0014045684661331305,0.002785539358911045,0,NA,NA,NA,0.011883910192369417,3.458195102444032e-4,0,NA,NA,NA
female_34,0.005663871387675562,3.673707698399974e-4,0,0.0013693634972368287,0.002926684778431792,0,NA,NA,NA,0.011614536231637489,3.616905020420329e-4,0,NA,NA,NA
female_35,0.005477059920815924,3.9559850440777015e-4,0,0.0013397398664616732,0.0030742874829693383,0,NA,NA,NA,0.011370729501665615,3.786376606289228e-4,0,NA,NA,NA
female_36,0.005298553978104242,4.2809077525916297e-4,0,0.0013149946737026925,0.0032248709539788433,0,NA,NA,NA,0.011166511136792005,3.9673619701064653e-4,0,NA,NA,NA
female_37,0.005127167588296936,4.653767763614445e-4,0,0.0012940305612509093,0.0033778847584170725,0,NA,NA,NA,0.011002400181892871,4.1636915948796026e-4,0,NA,NA,NA
female_38,0.004963125602166267,5.08017383214396e-4,0,0.0012752239108559092,0.0035328313967238146,0,NA,NA,NA,0.010880888583953103,4.378743526431397e-4,0,NA,NA,NA
female_39,0.004795426681135683,5.572122558037151e-4,0,0.001258648202386475,0.0036853605026902483,0,NA,NA,NA,0.010810253262822605,4.617299610097845e-4,0,NA,NA,NA
female_40,0.00463038982692741,6.13034107397801e-4,0,0.0012434603991843202,0.0038332301494972904,0,NA,NA,NA,0.010792036578506206,4.883522343967228e-4,0,NA,NA,NA
female_41,0.004458457183113448,6.764804384171215e-4,0,0.0012287076694826133,0.003979269261983251,0,NA,NA,NA,0.010834714890885439,5.181968256473608e-4,0,NA,NA,NA
female_42,0.004286729093508356,7.47835843358863e-4,0,0.0012147929256155184,0.0041192482737954705,0,NA,NA,NA,0.010937495204643839,5.517295133820109e-4,0,NA,NA,NA
female_43,0.0041145072620933105,8.277921567527804e-4,0,0.0012013214305949971,0.004256062360233257,0,NA,NA,NA,0.011107120336120213,5.898480891366601e-4,0,NA,NA,NA
female_44,0.003945471901020781,9.177742642233173e-4,0,0.0011889877445160324,0.004389294393501393,0,NA,NA,NA,0.011347504720933741,6.323044728457521e-4,0,NA,NA,NA
female_45,0.003782594952550485,0.0010174866560898705,0,0.0011772518713458182,0.0045191265936241525,0,NA,NA,NA,0.011658888960405952,6.803320212333394e-4,0,NA,NA,NA
female_46,0.0036250326723074166,0.0011277776358389836,0,0.0011677326838042449,0.004646384021927935,0,NA,NA,NA,0.012044849044311178,7.341566534352845e-4,0,NA,NA,NA
female_47,0.0034772567655865227,0.001249147286935813,0,0.0011606562912974323,0.004772114738468317,0,NA,NA,NA,0.012510114860180015,7.950899549385788e-4,0,NA,NA,NA
female_48,0.0033413525069953855,0.0013815231839979347,0,0.0011570783147222309,0.004898163277810123,0,NA,NA,NA,0.013051620465247181,8.632170236963141e-4,0,NA,NA,NA
female_49,0.0032200764751016374,0.0015246881924780402,0,0.0011582118266952998,0.005025811479823881,0,NA,NA,NA,0.013669591052703212,9.395742031192565e-4,0,NA,NA,NA
female_50,0.003118187992992875,0.0016781772896121063,0,0.0011637705640721865,0.005157133050391593,0,NA,NA,NA,0.014355877486632402,0.0010244820284135276,0,NA,NA,NA
female_51,0.003036621747239494,0.001843573008088615,0,0.0011751599200136955,0.005290393193768571,0,NA,NA,NA,0.015116933867963433,0.0011189101201540472,0,NA,NA,NA
female_52,0.0029765316068192894,0.002020812164335231,0,0.0011933426273442508,0.005428274037950222,0,NA,NA,NA,0.0159505277549358,0.0012230327844456282,0,NA,NA,NA
female_53,0.0029373286477148647,0.0022091707609509445,0,0.0012189956902847817,0.005568117917676531,0,NA,NA,NA,0.016844908571522505,0.0013371002316602282,0,NA,NA,NA
female_54,0.0029242199929995424,0.0024090918528897557,0,0.0012528211837205543,0.005707174661388504,0,NA,NA,NA,0.017801120004399235,0.001461939760447873,0,NA,NA,NA
female_55,0.0029372748001761442,0.002622003579296527,0,0.001295998181161003,0.005843740029715883,0,NA,NA,NA,0.018813542161597814,0.00159781652305332,0,NA,NA,NA
female_56,0.0029759485964273233,0.00284653253290625,0,0.0013487209438463382,0.005972709307932707,0,NA,NA,NA,0.019864713557784387,0.0017451249460826248,0,NA,NA,NA
female_57,0.003043605376168262,0.0030858110598361572,0,0.001412703739874722,0.006090023981155948,0,NA,NA,NA,0.02096321490270829,0.0019035788354956147,0,NA,NA,NA
female_58,0.003140492624926593,0.003343248956651285,0,0.0014873093976493714,0.0061849417375225806,0,NA,NA,NA,0.022094057113722934,0.002074120301522845,0,NA,NA,NA
female_59,0.0032699013051767064,0.0036185282244639615,0,0.0015743859845067298,0.0062583677848003115,0,NA,NA,NA,0.023257727034225573,0.002258054825859679,0,NA,NA,NA
female_60,0.0034331239989788486,0.00391779271636395,0,0.001674276526920229,0.006302123715242141,0,NA,NA,NA,0.024464062145218915,0.002454576655037015,0,NA,NA,NA
female_61,0.0036319654427354863,0.004245780459903099,0,0.0017876057799975798,0.006310223468281502,0,NA,NA,NA,0.02569061175819804,0.00266557877523337,0,NA,NA,NA
female_62,0.0038648203664758607,0.004599950397871956,0,0.0019146644680736635,0.00627163148501551,0,NA,NA,NA,0.026957369703286337,0.0028904330192628656,0,NA,NA,NA
female_63,0.004133950597026288,0.004991519970864408,0,0.002054920434501708,0.006182040128374474,0,NA,NA,NA,0.02827024793859411,0.0031284413223624944,0,NA,NA,NA
female_64,0.004444914069965809,0.00542116042851091,0,0.0022098291247416293,0.0060354773933525094,0,NA,NA,NA,0.029656165289107944,0.0033812178194402216,0,NA,NA,NA
female_65,0.004794723752187769,0.005896022178195233,0,0.0023791485816596074,0.005836705714525524,0,NA,NA,NA,0.03112268390369266,0.0036509960537398204,0,NA,NA,NA
female_66,0.005183987483335144,0.006424431463657755,0,0.002563373653693699,0.005581579068710172,0,NA,NA,NA,0.032682247938134706,0.003939155623626789,0,NA,NA,NA
female_67,0.0056155951530368516,0.007007799822782502,0,0.0027624681599653584,0.00527397387753452,0,NA,NA,NA,0.034385253620593616,0.004246208424507421,0,NA,NA,NA
female_68,0.006088739653998992,0.007653763786416214,0,0.002976412731981796,0.00492122634251267,0,NA,NA,NA,0.03621896776332347,0.004574240295976057,0,NA,NA,NA
female_69,0.006604074863935985,0.008365271277093463,0,0.0032079378764074754,0.004539476165300704,0,NA,NA,NA,0.038236134953538885,0.00492612590396461,0,NA,NA,NA
female_70,0.00716596248149934,0.00914745114870107,0,0.0034553947277481904,0.0041328229617095145,0,NA,NA,NA,0.040475384238515155,0.005301964298191703,0,NA,NA,NA
female_71,0.007775779163291226,0.010004396349093142,0,0.0037224874693449336,0.003715901874842444,0,NA,NA,NA,0.04296396440754388,0.005709941453269722,0,NA,NA,NA
female_72,0.008436541458757132,0.010939230741709051,0,0.004010177229830867,0.0033005132004280432,0,NA,NA,NA,0.04573986707305051,0.006149544826509656,0,NA,NA,NA
female_73,0.009152072988704057,0.011947958494228524,0,0.004322122039355531,0.002900758447627152,0,NA,NA,NA,0.048853519057692946,0.006623471546709477,0,NA,NA,NA
female_74,0.0099245059441593,0.013036581021998051,0,0.004661130243702951,0.002525189282113886,0,NA,NA,NA,0.05236791771241354,0.007138490070186914,0,NA,NA,NA
female_75,0.010762467966824193,0.014181729505017747,0,0.005030446724138348,0.002179647851539189,0,NA,NA,NA,0.056309080359626035,0.007693822664187078,0,NA,NA,NA
female_76,0.011674818308016817,0.015387235849296892,0,0.005434287066951702,0.0018679787763743849,0,NA,NA,NA,0.06078559336071943,0.008295916040502394,0,NA,NA,NA
female_77,0.01267761859292313,0.01664270013517269,0,0.005874784409863858,0.0015921333948331756,0,NA,NA,NA,0.06583964994287303,0.008948535686804558,0,NA,NA,NA
female_78,0.013768313495357882,0.017939074618543265,0,0.006355860259780772,0.0013533857473751125,0,NA,NA,NA,0.07155200080109952,0.00965863858608507,0,NA,NA,NA
female_79,0.014970287686691838,0.019256331427649025,0,0.0068858196068497055,0.001148804321558175,0,NA,NA,NA,0.07808739034832503,0.010425601082999595,0,NA,NA,NA
female_80,0.01628175868320652,0.020567830913741578,0,0.00746366103750992,9.754422165643605e-4,0,NA,NA,NA,0.08548830102072653,0.011254227775419977,0,NA,NA,NA
female_81,0.017715388072840572,0.021860790489149632,0,0.008091252203061347,8.323327195439384e-4,0,NA,NA,NA,0.09392129271349978,0.012151624336892028,0,NA,NA,NA
female_82,0.019276691421618843,0.02311846267588092,0,0.00876933712649652,7.137042710157418e-4,0,NA,NA,NA,0.10351368415333975,0.013119331375553551,0,NA,NA,NA
female_83,0.020984596516647653,0.024309844275443783,0,0.009498791073729074,6.169604175878513e-4,0,NA,NA,NA,0.11453054951567998,0.014167160218632853,0,NA,NA,NA
female_84,0.022830393482650535,0.025429399270088377,0,0.010273478966300039,5.385563682283589e-4,0,NA,NA,NA,0.127191859569732,0.015295960797172992,0,NA,NA,NA
female_85,0.024829907892820406,0.026475684853229417,0,0.011087988244788164,4.756344637837863e-4,0,NA,NA,NA,0.1416799970345307,0.016510385802737608,0,NA,NA,NA
female_86,0.026970055975615623,0.02741225729713169,0,0.011943974127202214,4.254334866292691e-4,0,NA,NA,NA,0.1584178904091869,0.017820509683185024,0,NA,NA,NA
